entidad,tipo_entidad
Colima,estado
Facultad de Filosofía y Letras (Universidad Nacional Autónoma de México),facultad universitaria
París,barrio de Puerto Rico
La noche de Tlatelolco:Testimonios de historia oral,obra literaria
Cracovia,página de desambiguación de Wikimedia
actor de televisión,actor
Universidad Iberoamericana,universidad
Globo de Oro a la mejor actriz de reparto,premio
actor de voz,Wikidata property to identify contributors to audiovisual works
Tijuana,ciudad
Kairo,película
Medalla Belisario Domínguez,medalla
Magdalena de Kino,localidad de México
Cuajimalpa de Morelos,página de desambiguación de Wikimedia
Zapopan,ciudad
embajador,cargo
Mercurio,página de desambiguación de Wikimedia
Carreras,página de desambiguación de Wikimedia
Academia Mexicana de Ciencias,institución académica
Colotlán,localidad de México
Heroico Colegio Militar,institución académica
El Paso,ciudad
Estrella del Paseo de la Fama de Hollywood,distinción
historiador del arte,profesión
Los cuatro acuerdos,obra literaria
Televisa San Ángel,estudio de cine
La Brecha,localidad de México
taekwondista,deportista
Premio Nacional del Deporte,distinción
Estudio de actuación Stella Adler,escuela de arte dramático
Anexo:Oscar al mejor actor de reparto,premio
Černošice,municipio
traductor,propiedad de Wikidata para elementos sobre obras
Universidad Carolina de Praga,universidad
Real Academia de la Lengua Vasca,entidad: Real Academia de la
Universidad Técnica de Berlín,universidad
Universidad Libre de Berlín,universidad
aristócrata,clase social
Leverkusen,ciudad
Centro de Educación Artística,institución educativa
Leipzig,ciudad
luchador de artes marciales mixtas,profesión
Universidad Autónoma de San Luis Potosí,universidad
Universidad Michoacana de San Nicolás de Hidalgo,universidad
Guasave,localidad de México
piloto de automovilismo,profesión
Academia Asiática de Cine y Televisión,estudio de cine
Miss Universo,concurso de belleza
Mérida,municipio
gobernador de Yucatán,cargo público
"Bela, a Feia",serie de televisión
portavoz,trabajador de cuello blanco
Rebelde Way,serie de televisión
Erreway,grupo musical
presentador,profesión
El Bronx,serie de televisión
Premio Ariel a mejor actriz,premio
Orden de Isabel la Católica,orden
educador de arte,profesión
Universidad de Iowa,universidad
Universidad Panamericana,universidad
El Rosario,página de desambiguación de Wikimedia
San Miguel de Tucumán,ciudad
Anexo:Premio Ariel de Oro,premio
Taxco de Alarcón,ciudad
Municipio de Puebla,municipio
Timbiriche,grupo musical
Gobernantes de Tamaulipas,cargo público
Michoacán,estado
Mexicali,ciudad
Libro Guinness de los récords,obra literaria
artista escénico,profesión
Ojinaga,localidad de México
Puebla de Zaragoza,ciudad
Los demonios del Edén,obra literaria
Premio al coraje civil de la Fundación Train,distinción
La Sorbona,universidad
jinete hípico,deportista
Premio Internacional Alfonso Reyes,premio
Tamaulipas,estado
Teziutlán,localidad de México
Estado de México,localidad de México
agente de policía,profesión
Suaqui,pueblo
Este de Los Ángeles,lugar designado por el censo
Escuela Preparatoria Garfield,página de desambiguación de Wikimedia
periodista,profesión
Fernando Hernandez Leyva,ser humano
Ángel Luis Ortiz Monasterio Castellanos,ser humano
Ángel Reyna,ser humano
Ángel Romero Llamas,ser humano
Ángel Segura,ser humano
Ángel Zárraga,ser humano
Juventud Guerrera,ser humano
Ángela Gurría,ser humano
Ángeles Mastretta,ser humano
Enrique del Moral,ser humano
XVI Distrito de París,distrito
Japón,país
Universidad de Tokio,universidad
Universidad Transylvania,universidad
"Escuela Nacional de Pintura, Escultura y Grabado La Esmeralda",institución académica
Universidad Pontificia de Santo Tomás de Aquino,universidad
superior general,superior
Universidad de Míchigan,universidad
asesino en serie,asesino
Municipio de Teul de González Ortega,municipio
Escuela Nacional Preparatoria,escuela
Academia de Artes (México),institución académica
Premio Rómulo Gallegos,premio
Carmen Boullosa,ser humano
Kevin O'Connor,ser humano
Maribel Domínguez,ser humano
Casper,ciudad
Beatriz Paredes Rangel,ser humano
Alvin Mendoza,ser humano
Beatriz Zavala Peniche,ser humano
Olivia Harrison,ser humano
Carlton Cuse,ser humano
Comandanta Ramona,ser humano
Helia Bravo Hollis,ser humano
Rolando Villazón,ser humano
Pedro Bermúdez,ser humano
Griselda Álvarez,ser humano
Filippa Giordano,ser humano
Elena Garro,ser humano
Sandra Cisneros,ser humano
Paloma Baeza,ser humano
Julieta Campos,ser humano
Romary Rifka,ser humano
Luis Rojas Mena,ser humano
Luis Herrera de la Fuente,ser humano
Paris Pişmiş,ser humano
Miguel Miramón,ser humano
Claudio Suárez,ser humano
Demián Bichir,ser humano
Jonny Magallón,ser humano
Ignacio Comonfort,ser humano
Angélica María,ser humano
Gummy,ser humano
Verónica Segura,ser humano
María Sabina,ser humano
Anastasia Acosta,ser humano
Mónica Ocampo,ser humano
Mario Arturo Acosta Chaparro,ser humano
Gloria Marín,ser humano
Hérculez Gómez,ser humano
Mariano Paredes y Arrillaga,ser humano
Sabina Berman,ser humano
Jesús Mena Campos,ser humano
Premio Xavier Villaurrutia,premio
Dublín,ciudad
San Esteban Tizatlán,localidad de México
Universidad Autónoma de Yucatán,universidad
productor discográfico,profesión musical
Premios Grammy,premio
Sindicato de Guionistas del Oeste de los Estados Unidos,sindicato de trabajadores
Mixcoac,colonia
director,Wikidata property to identify contributors to audiovisual works
Ciudad Satélite,barrio
Deutsche Oper Berlin,teatro de ópera
Granada,municipio
Palermo,ciudad
cantante de ópera,profesión musical
La culpa es de los tlaxcaltecas,obra literaria
Chicago,ciudad
Londres,ciudad
Universidad de Brístol,universidad
La Habana,página de desambiguación de Wikimedia
Universidad de La Habana,universidad
Poza Rica,localidad de México
atleta,deportista
Jalpa de Cánovas,asentamiento
Constantinopla,ciudad
astrónomo,científico
