entidad	instancia_de	subclase_de
Roberto Agramonte	ser humano	
Adria Santana	ser humano	
Juan Vitalio Acuña Núñez	ser humano	
Enrique Regüeiferos	ser humano	
Robert Alfonso	ser humano	
Adriana Muñoz	ser humano	
Mirka Francia	ser humano	
embajador de Cuba	clase de embajadores de un país	embajador de un país
Universidad de Columbia	universidad privada, Colegios coloniales, universidad de investigación, institución educativa privada sin fines de lucro	
Universidad de California en San Diego	universidad pública, institución educativa pública de los Estados Unidos	
poeta	profesión	escritor
Grupo de Experimentación Sonora del ICAIC	grupo musical	
Universidad de Concepción	universidad privada, editor de acceso abierto	
Birán	ciudad, villa	
astronauta	ocupación	científico, miembro de tripulación, viajero
Fuerza Aérea de Cuba	fuerza aérea	
Caibarién	ciudad, municipio de Cuba	
Collar de la Orden de Isabel la Católica	grado de una orden	collar
Paradiso	gemeinde de Suiza	
Las Tunas	municipio de Cuba, gran ciudad	
Universidad de las Artes	universidad, institución educativa privada sin fines de lucro	
Juan Gundlach	ser humano	
Jorge Hernández	página de desambiguación de nombres humanos	
José Gómez Mustelier	ser humano	
Lázaro Bruzón	ser humano	
Rogelio Marcelo	ser humano	
Carlos Acosta	ser humano	
Robeisy Ramírez	ser humano	
Yordanis Arencibia	ser humano	
Abelardo Barroso	ser humano	
Calixto García	ciudad, municipio de Cuba	
Orestes Vilató	ser humano	
Jorge Agostini	ser humano	
Roger Miret	ser humano	
Senel Paz	ser humano	
Gorki Águila	ser humano	
Juan Lembeye	ser humano	
Michael Sánchez	ser humano	
Luis F. de Armas	ser humano	
Yoel Romero	ser humano	
Virgilio Piñera	ser humano	
Marburgo	página de desambiguación de Wikimedia	
naturalista	profesión, cargo, ocupación	científico
Universidad de Marburgo	universidad pública, comprehensive university	
Holguín	ciudad, municipio de Cuba, gran ciudad	
bailarín de ballet	profesión	bailarín
Reino Unido	país, país insular, estado soberano, poder colonial	
Escuela Nacional de Ballet	escuela	
Ballet Real	compañía de ballet	
Amancio	ser humano	
músico de jazz	ocupación, profesión musical	músico
Mayarí	ciudad, municipio de Cuba	
esgrimista	ocupación	deportista
Agnostic Front	grupo de punk	
Porno para Ricardo	grupo musical	
Ferrol	municipio de Filipinas	
alcalde de Culleredo	cargo público	alcalde
Poltava	ciudad de importancia regional de Ucrania	
Rusia	país, federación, Estado laico, país transcontinental, estado soberano, estado sucesor	
aracnólogo	profesión, ocupación	zoólogo de invertebrados
Instituto de Ecologia y Sistemática	instituto de investigación, editorial académica	
luchador de artes marciales mixtas	profesión	artista marcial
músico	ocupación, profesión musical	artista
