entidad	instancia_de	subclase_de
Universidad Estatal de Feira de Santana	state universities of Bahia, editor de acceso abierto	
Organización de las Naciones Unidas para la Alimentación y la Agricultura	agencia de la ONU	
Sahagún	página de desambiguación de Wikimedia	
primera dama	título honorífico, cargo	mujer, consorte, First Spouse
Primera dama de Panamá	cargo	primera dama
Universidad Complutense de Madrid	placa conmemorativa	
Macaracas	Comunidad de Panamá	
Zaragoza	municipio de España	
religioso	profesión, ocupación	
economista	profesión, grupo de ocupaciones de la CIUO	científico social, profesionales sociales y religiosos
empresario	profesión, persona jurídica, ocupación, concepto económico	business and administration professionals
Apache Ness	ser humano	
Aquilino Boyd	ser humano	
Aramis Haywood	ser humano	
Armando Dely Valdés	ser humano	
Armando Polo	ser humano	
Arquimedes Nieto	ser humano	
Arturo Tejada	ser humano	
Arturo Vallarino	ser humano	
Arturo Worrell	ser humano	
Audes de León	ser humano	
Augusto Aurelio Fábrega Donado	ser humano	
Avelino Asprilla	ser humano	
Barbra Higgins	ser humano	
Ben Oglivie	ser humano	
Bernardino González Ruiz	ser humano	
Bienvenido Cedeño	ser humano	
Bill Haywood	ser humano	
Braulio Baeza	ser humano	
Brunet Francisco Hay	ser humano	
Calito Soul	ser humano	
artista	ocupación, profesión artística	creador
College of the Holy Cross	universidad, universidad de artes liberales, institución educativa privada sin fines de lucro	
parlamentario	cargo	legislador, afiliado, persona elegida
beisbolista	profesión	deportista, jugador competitivo
karateca	profesión, ocupación	artista marcial
Aguadulce	Comunidad de Panamá	
diplomático	profesión, título corporativo	estadista, alto cargo
Universidad Rusa de la Amistad de los Pueblos	universidad, editor de acceso abierto	
Medalla Pushkin	medalla, distinción	
esgrimista	ocupación	deportista
médico	profesión sanitaria, cargo, ocupación, profesión medicina, grupo de ocupaciones de la CIUO	profesional de la salud
Bocas del Toro	página de desambiguación de Wikimedia	
Estados Unidos	país, república federal, superpotencia internacional, república constitucional, estado soberano, república democrática	
Universidad de Carolina del Norte en Chapel Hill	institución educativa pública de los Estados Unidos, universidad pública de investigación	
Panama City	sede de condado, ciudad de Estados Unidos	
jockey	propiedad de Wikidata relacionada con la equitación	
Carlos Afu	ser humano	
Carlos Duque	ser humano	
Carlos Melo	ser humano	
Carlos Muñoz	página de desambiguación de nombres humanos	
Carlota Lozano	ser humano	
Carolina Demetiev	ser humano	
Marta McGonagle	ser humano	
Chick Parsons	ser humano	
Chico Salmón	ser humano	
Christian Bethancourt	ser humano	
Christie Bodden	ser humano	
Clinton Kelly	página de desambiguación de nombres humanos	
Clive Trotman	ser humano	
Cornelio Velásquez	ser humano	
César Quintero	ser humano	
Dalys la Caribeña	ser humano	
Daniel Delgado	ser humano	
Dave Roberts	ser humano	
Davis Peralta	ser humano	
Demitrius Omphroy	ser humano	
comerciante	profesión, clase social	empresario, agente económico, distribuidor
Provincia de Colón	provincia de Panamá	
entrenador personal	profesión, ocupación	entrenador, entrenador personal
participante en concursos de belleza	ocupación	animador, modelo, concursante
director de cine	profesión, profesión del cine	artista visual, profesional del cine, realizador, miembro del equipo de filmación
Shelbyville	página de desambiguación de Wikimedia	
oficial militar	rango militar, profesión militar	militar, oficial
Cruz de la Armada	cruz, distinción a la valentía	
Boston College	universidad, college, institución educativa privada sin fines de lucro, editor de acceso abierto	
Chitré	ciudad, Comunidad de Panamá	
luchador profesional	profesión	luchador, atleta profesional
Colegio Interamericano de Defensa	college, academia militar	
El Chorrillo	Comunidad de Panamá	
baloncestista	profesión	deportista, jugador competitivo
Alameda	página de desambiguación de Wikimedia	
Universidad de California en Berkeley	Universidad de concesión de tierras, biblioteca de depósito de las Naciones Unidas, institución educativa pública de los Estados Unidos, universidad pública de investigación	
Carlos Ruiz	ser humano	
Guillermo Endara Galimany	ser humano	
José Luis Rodríguez Pittí	ser humano	
Francisco A. Rodríguez	ser humano	
Rubén Blades	ser humano	
Manny Acosta	ser humano	
Carolena Carstens	ser humano	
Carlos Antonio Mendoza	ser humano	
Guillermo Ford	ser humano	
Lorenzo Charles	ser humano	
Maricely González	ser humano	
Jose Domingo Ulloa Mendieta	ser humano	
Julio César Dely Valdés	ser humano	
Manuel Amador Guerrero	ser humano	
José Calderón	ser humano	
Jaime Murrell	ser humano	
Arnulfo Arias Madrid	ser humano	
DJ Black	ser humano	
Dámaso Espino	ser humano	
Roberto Kelly	ser humano	
Universidad de Nueva York	escuela, lugar de trabajo, universidad privada, universidad de investigación, institución educativa privada sin fines de lucro	
