entidad	instancia_de	subclase_de
Gustavo Yacamán	ser humano	
Laureano Gómez	ser humano	
Mimi Morales	ser humano	
Academia Colombiana de Historia	sociedad erudita, editorial	
Bucaramanga	gran ciudad, municipio de Colombia, ciudad de Colombia	
Fuerzas Armadas Revolucionarias de Colombia	organización terrorista, movimiento guerrillero	
Popayán	gran ciudad, municipio de Colombia, ciudad de Colombia	
pianista	cargo, ocupación, profesión musical	tecladista
Almaguer	municipio de Colombia	
geógrafo	profesión	científico de la Tierra
árbitro de fútbol	profesión	árbitro, oficial del partido, person associated with football
Villa del Rosario	página de desambiguación de Wikimedia	
militar	profesión, ocupación	empleado, guerrero
Colegio Mayor de San Bartolomé	colegio mayor	
Presidente de Colombia	presidente, jefe de Estado	jefe de Estado, presidente de la Republica, jefe del Gobierno
actor de cine	profesión del cine	actor, film people
Universidad EAFIT	universidad privada, editor de acceso abierto	
Tunja	gran ciudad, municipio de Colombia, ciudad de Colombia	
Trine University	universidad, institución educativa privada sin fines de lucro	
Chigorodó	municipio de Colombia	
ciclista de pista	profesión	ciclista
Venadillo	municipio de Colombia	
asesino en serie	ocupación, type of criminal	asesino
Universidad Central del Ecuador	universidad, editor de acceso abierto	
Alcalde Metropolitano de Quito	cargo	alcalde
Buga	página de desambiguación de Wikimedia	
Universidad Jorge Tadeo Lozano	universidad, editor de acceso abierto	
Vicepresidente de Colombia	cargo	vicepresidente
Colegio Bolívar	escuela	
Cartagena de Indias	gran ciudad, municipio de Colombia, ciudad de Colombia	
Wilson Zambrano	ser humano	
Jorge García Isaza	ser humano	
Rosa Amelia Plumelle-Uribe	ser humano	
Carlos Mario Hoyos	ser humano	
Javier Calle	ser humano	
Jeffry Romero	ser humano	
Juan Agudelo	ser humano	
Jesús Díaz	ser humano	
Juan Diego González	ser humano	
Hector Echeverri	ser humano	
Rafael Montiel	ser humano	
Reinaldo Llanta	ser humano	
Armando Carrillo	ser humano	
Aníbal Muñoz Duque	ser humano	
Sergio Fajardo	ser humano	
Phil Jackson Ibargüen	ser humano	
Gabriel Betancourt Mejía	ser humano	
José María Vargas Vila	ser humano	
Julián Atehortúa	ser humano	
Jaime de la Pava	ser humano	
Socorro	municipio de Filipinas	
obispo titular	cargo, cargo eclesiástico, función episcopal, vocación católica	obispo católico
Montelíbano	municipio de Colombia	
escritor de no ficción	profesión	autor
El Bagre	municipio de Colombia	
Universidad del Valle	universidad, universidad pública, editor de acceso abierto	
Santa Rosa de Osos	municipio de Colombia	
Gobernador de Antioquia	cargo público	gobernador
Acandí	ciudad fronteriza, municipio de Colombia	
Universidad de Siracusa	universidad privada, universidad de investigación, conjunto de estructuras o edificios, organización 501(c)(3), institución educativa privada sin fines de lucro	
Academia Nacional de Educación	sociedad erudita	
Anexo:Bibliografía de José María Vargas Vila	bibliografía, artículo de lista de Wikimedia	
Salgar	municipio de Colombia	
Adrián Ramos	ser humano	
Ricardo Antonio Tobón Restrepo	ser humano	
Pablo Armero	ser humano	
Julio César Turbay	ser humano	
Andrew Loog Oldham	ser humano	
Alejandro Falla	ser humano	
Santiago Giraldo	ser humano	
Faustino Asprilla	ser humano	
José Barros	ser humano	
Guillermo Abadía Morales	ser humano	
Rigoberto Urán	ser humano	
Aldo Bobadilla	ser humano	
Christian Benítez	ser humano	
Lucho Bermúdez	ser humano	
Adolfo Mejía	ser humano	
Adolfo Valencia	ser humano	
Ernesto Samper	ser humano	
James Rodríguez	ser humano	
Nelson Rivas	ser humano	
Teófilo Gutiérrez	ser humano	
Santander de Quilichao	municipio de Colombia	
Ituango	municipio de Colombia	
