entidad	instancia_de	subclase_de
Alberto Bustamante Belaúnde	ser humano	
Jorge Pardón	ser humano	
Juan Francisco de Vidal La Hoz	ser humano	
Javier Del Río Alba	ser humano	
José Carlos Fernández Piedra	ser humano	
Augusto Zúñiga	ser humano	
Jenny de la Torre Castro	ser humano	
Aurelio García y García	ser humano	
Julio César García Mezones	ser humano	
Bernie Paz	ser humano	
Kerwin Peixoto	ser humano	
Barton Zwiebach	ser humano	
José Guillermo del Solar	ser humano	
Alex Olmedo	ser humano	
Toribio Rodríguez de Mendoza	ser humano	
Justiniano Borgoño	ser humano	
Óscar Valdés	ser humano	
Remigio Morales Bermúdez	ser humano	
Departamento de Tacna	departmento del Perú	
Biblioteca Nacional del Perú	biblioteca nacional, organismo público ejecutor	
marino	profesión, ocupación marítima	tripulación de barco
Comandante General de la Marina de Guerra del Perú	cargo, posición militar	general en jefe
Instituto Libertad y Democracia	think tank	
Supe	ciudad	
Universidad Pontificia de Santo Tomás de Aquino	universidad	
Premio LudovicTrarieux	distinción	
Nazca	página de desambiguación de Wikimedia	
cirujano	grado académico, especialidad, cargo, disciplina académica, profesión medicina	médico especialista
Universidad de Leipzig	universidad pública, Fachhochschule, comprehensive university, editor de acceso abierto	
Orden del Mérito de la República Federal de Alemania	orden de mérito	
actor de televisión	profesión	actor
físico	profesión	científico físico
Instituto Tecnológico de Massachusetts	universidad, universidad técnica, instituto tecnológico, space grant institution, institución educativa privada sin fines de lucro, editorial académica	
Salón Internacional de la Fama del tenis	organización sin fines de lucro, pista de tenis, Salón de la Fama del Deporte	
educador	profesión	personal educativo, profesionales de la enseñanza
Pica	villa, comuna de Chile	
Belissa Andía Pérez	ser humano	
Christian Meier	ser humano	
Javier de Belaunde Ruiz de Somocurcio	ser humano	
Lizardo Montero Flores	ser humano	
Felipe Santiago Salaverry	ser humano	
José Bernardo de Tagle	ser humano	
Antonio González	página de desambiguación de nombres humanos	
Jean Deza	ser humano	
César Orosco	ser humano	
Diego Penny	ser humano	
Renzo Revoredo	ser humano	
Rubén Toribio Díaz	ser humano	
Demetrio Túpac Yupanqui	ser humano	
Raúl Ruidíaz	ser humano	
Roberto Palacios	ser humano	
Juan Ossio	ser humano	
Dúber Zapata	ser humano	
José Santos Chocano	ser humano	
Doris Gibson	ser humano	
Fernando Torres y Portugal	ser humano	
Distrito de Atico	distrito de Perú	
activista por los derechos humanos	ocupación	activista político
ensayista	profesión	prosista
Premios Luces	distinción, grupo de premios	
Convictorio de San Carlos	colegio mayor	
