entidad	instancia_de	subclase_de
Universidad de Cambridge	universidad colegiada, organización educativa, universidad pública de investigación	
Universidad Tulane de Luisiana	universidad, campus, institución educativa privada sin fines de lucro	
Berlín	distrito de El Salvador	
Academia de las Artes de Berlín	museo, academia, institución cultural, recinto artístico	
Fausto Minion	ser humano	
Cristian Ramírez	ser humano	
Damián Lanza	ser humano	
Delfín Tenesaca	ser humano	
Demetrio Aguilera Malta	ser humano	
Denisse Mera	ser humano	
Diego Luzuriaga	ser humano	
Paul Engel	ser humano	
Octavio Zambrano	ser humano	
Miguel Ángel Aguilar Miranda	ser humano	
Roberto Manrique	ser humano	
Edith Loza	ser humano	
Humberto Salvador	ser humano	
Eduardo Hurtado	ser humano	
Eduardo José Castillo Pino	ser humano	
Luis Alberto Luna Tobar	ser humano	
Dániel Torres	ser humano	
José Mario Ruiz Navas	ser humano	
Fausto Trávez Trávez	ser humano	
María Isabel Salvador	ser humano	
Santo Domingo	municipio de Filipinas	
Rusia	aldea	
Chimborazo	provincia de Ecuador	
agricultor	Q778000, ocupación	trabajador agrícola, cultivadores de cultivos extensivos y hortalizas, selective profession
Los que se van	obra literaria	
embajador de Ecuador	clase de embajadores de un país	embajador de un país
Universidad de Columbia	universidad privada, Colegios coloniales, universidad de investigación, institución educativa privada sin fines de lucro	
Beca Guggenheim	beca, evento anual	premio académico
Viena	cañonero	
Universidad Chapman de Betsabe	universidad, institución educativa privada sin fines de lucro	
Cuba	país, país insular, Estado unitario, Estado comunista, estado soberano	
Cantón Latacunga	cantón de Ecuador	
obispo católico	función episcopal, vocación católica	obispo, sacerdote católico, pastor, ministro, clérigo católico
