entidad	instancia_de	subclase_de
Cantón Paján	cantón de Ecuador	
Marco Tenorio	ser humano	
Esteban Villaprado	ser humano	
Carlos Wila	ser humano	
Wendy Vera	ser humano	
Marco Segura	ser humano	
Walter Cárdenas	ser humano	
Agustín Febres-Cordero Ribadeneyra	ser humano	
Raúl Guarderas Guarderas	ser humano	
Betty Pino	ser humano	
Galo Roggiero	ser humano	
José Vargas	ser humano	
Antonio Preciado	ser humano	
Alfredo Czarninski	ser humano	
Antonio Cajamarca Yánez	ser humano	
Bonil	ser humano	
César Borja Lavayen	ser humano	
Douglas Moya	ser humano	
Hipatia Cárdenas de Bustamante	ser humano	
Juan Borja Mata	ser humano	
Luz Elisa Borja Martínez	ser humano	
Cantón Muisne	cantón de Ecuador	
Mostro de amor	obra de composición musical	
Instituto Ecuatoriano de Seguridad Social	organismo público	
Ministro de Defensa Nacional	cargo público	ministro de Defensa
locutor	propiedad de Wikidata relacionada con las grabaciones y archivos de audio, Wikidata property related to video files and recordings	
