entidad,relacion,objeto,source_file
Ramón Rosa,Ocupación,diplomático,honduras
Ramón Rosa,Ocupación,periodista,honduras
Gilberto Machado,Lugar de nacimiento,San Pedro Sula,honduras
Gilberto Machado,Ocupación,entrenador,honduras
Gilberto Machado,Ciudadanía,Honduras,honduras
Gilberto Machado,Fecha de nacimiento,1962-03-23,honduras
Gilberto Machado,Ocupación,futbolista,honduras
Felipe Bustillo,Lugar de nacimiento,Juticalpa,honduras
Felipe Bustillo,Ocupación,abogado,honduras
Felipe Bustillo,Ciudadanía,Honduras,honduras
Felipe Bustillo,Cargo,diputado del Congreso Nacional de Honduras,honduras
Felipe Bustillo,Fecha de nacimiento,1807-01-01,honduras
Felipe Bustillo,Fecha de defunción,1899-01-01,honduras
Felipe Bustillo,Ocupación,político,honduras
Rafael Manzanares Aguilar,Lugar de nacimiento,La Esperanza,honduras
Rafael Manzanares Aguilar,Ocupación,compositor,honduras
Rafael Manzanares Aguilar,Ciudadanía,Honduras,honduras
Rafael Manzanares Aguilar,Educado en,Universidad Nacional Autónoma de Honduras,honduras
Rafael Manzanares Aguilar,Premio recibido,Premio Nacional de Arte Pablo Zelaya Sierra,honduras
Rafael Manzanares Aguilar,Fecha de nacimiento,1918-07-17,honduras
Rafael Manzanares Aguilar,Fecha de defunción,1999-08-28,honduras
Rafael Manzanares Aguilar,Ocupación,abogado,honduras
Rafael Manzanares Aguilar,Ocupación,etnógrafo,honduras
Argentina Díaz Lozano,Lugar de nacimiento,Santa Rosa de Copán,honduras
Argentina Díaz Lozano,Ocupación,diplomático,honduras
